Lead_Origin,Lead Source,Converted,Total_Visits,Total_Time_Website,Page_Views_Per_Visit,Last_Activity,Current_Occupation,Lead_Quality,Activity_Index,Profile_Index,Free_Copy
Landing Page Submission,Google,0,5,432,5,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,1,5,426,5,SMS Sent,Working Professional,4,2,3,Yes
Landing Page Submission,Google,1,5,1113,5,Email Opened,Unemployed,3,2,3,No
Lead Add Form,Others,1,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,4,2,2,No
API,Google,1,2,1453,1,SMS Sent,Working Professional,4,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,2,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Lead Add Form,Reference,1,2,1723,1,SMS Sent,Unemployed,5,2,3,No
API,Google,1,4,1859,2,SMS Sent,Working Professional,4,2,2,No
Landing Page Submission,Google,1,6,1252,3,Email Opened,Unemployed,4,2,3,No
API,Google,1,4,1144,2,SMS Sent,Unemployed,2,3,3,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,5,2,2,No
Landing Page Submission,Organic Search,1,5,112,5,SMS Sent,Unemployed,5,2,2,Yes
Landing Page Submission,Organic Search,1,3,980,3,SMS Sent,Other,4,2,2,Yes
Landing Page Submission,Direct Traffic,1,5,899,1.67,Email Opened,Unemployed,5,2,3,Yes
Landing Page Submission,Google,1,5,590,5,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Google,0,4,324,4,Email Opened,Other,5,2,3,No
Landing Page Submission,Google,1,3,1436,3,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Organic Search,1,3,1484,3,SMS Sent,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,0,2,1223,2,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Direct Traffic,1,5,1487,5,SMS Sent,Other,4,2,3,Yes
API,Google,1,5,837,5,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Google,1,3,1231,3,SMS Sent,Unemployed,4,2,3,No
API,Google,1,4,1850,4,SMS Sent,Unemployed,5,2,2,No
Landing Page Submission,Google,1,2,1182,2,SMS Sent,Other,3,2,3,No
Landing Page Submission,Direct Traffic,1,7,243,2.33,SMS Sent,Unemployed,4,2,3,Yes
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,1,3,2,No
Landing Page Submission,Google,1,4,784,4,Page Visited on Website,Working Professional,5,2,3,No
Landing Page Submission,Google,1,5,1190,2.5,SMS Sent,Other,4,2,3,No
API,Google,0,4,90,1.33,Page Visited on Website,Unemployed,3,3,2,No
Landing Page Submission,Direct Traffic,1,5,44,5,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Google,1,5,1209,5,Email Opened,Working Professional,4,2,3,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
Lead Import,Others,0,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Google,1,14,1507,1.56,Page Visited on Website,Working Professional,4,3,2,No
API,Google,1,2,857,2,SMS Sent,Working Professional,4,2,2,No
Landing Page Submission,Direct Traffic,0,5,328,2.5,Email Opened,Unemployed,3,2,3,Yes
API,Google,0,4,339,4,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,1,5,538,5,SMS Sent,Unemployed,3,2,3,No
API,Google,0,2,1144,1,Others,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,1,3,527,1.5,SMS Sent,Working Professional,4,2,3,Yes
Landing Page Submission,Direct Traffic,1,7,1357,1.75,Page Visited on Website,Working Professional,2,3,2,Yes
Landing Page Submission,Direct Traffic,0,27,386,5.4,Page Visited on Website,Unemployed,3,3,2,Yes
Landing Page Submission,Google,1,7,1380,2.33,Email Opened,Unemployed,5,2,2,No
Landing Page Submission,Google,1,3,48,3,Email Opened,Other,5,2,2,No
API,Olark Chat,0,0,0,0,Others,Unemployed,3,2,2,No
API,Google,1,2,1814,2,SMS Sent,Unemployed,4,2,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,2,2,3,No
Landing Page Submission,Organic Search,0,5,124,5,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,4,1640,4,Email Opened,Unemployed,5,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,5,2,3,No
Landing Page Submission,Organic Search,1,3,597,3,SMS Sent,Working Professional,4,2,3,Yes
Landing Page Submission,Direct Traffic,0,7,298,2.33,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Organic Search,1,5,1025,5,SMS Sent,Other,4,2,3,Yes
Landing Page Submission,Organic Search,0,2,860,2,Others,Unemployed,3,1,2,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,4,1357,2,SMS Sent,Unemployed,4,3,2,Yes
Landing Page Submission,Direct Traffic,1,2,882,2,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Google,1,5,841,2.5,SMS Sent,Unemployed,5,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Lead Add Form,Reference,1,2,1194,2,SMS Sent,Unemployed,5,2,3,No
Landing Page Submission,Organic Search,0,4,246,4,Email Opened,Unemployed,3,2,2,Yes
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,4,2,3,No
Landing Page Submission,Organic Search,1,3,140,3,SMS Sent,Working Professional,4,2,3,Yes
Landing Page Submission,Google,0,2,399,2,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Organic Search,0,4,1255,4,SMS Sent,Unemployed,3,2,2,Yes
Landing Page Submission,Google,0,5,0,2.5,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Google,1,4,1552,4,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,0,1,162,1,Others,Unemployed,2,2,2,Yes
Landing Page Submission,Google,0,6,365,3,Others,Unemployed,4,2,3,No
API,Organic Search,1,5,8,5,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,2,1680,2,Email Opened,Unemployed,4,2,3,Yes
Landing Page Submission,Google,0,4,93,1.33,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Google,0,4,278,4,Email Opened,Unemployed,3,2,3,No
API,Google,1,4,1524,1.33,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Google,0,4,602,2,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,1,4,1054,4,SMS Sent,Working Professional,4,2,2,Yes
Landing Page Submission,Google,1,7,602,7,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,2,1138,2,SMS Sent,Working Professional,4,2,3,Yes
Landing Page Submission,Direct Traffic,1,2,1638,2,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Direct Traffic,0,6,299,2,Email Opened,Unemployed,2,2,3,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Google,0,5,70,5,Email Opened,Unemployed,3,2,3,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,4,2,2,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,0,4,115,2,Page Visited on Website,Unemployed,3,2,2,No
API,Google,1,2,673,2,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,0,7,260,7,Olark Chat Conversation,Unemployed,3,2,2,Yes
API,Google,1,2,103,1,SMS Sent,Unemployed,4,3,2,No
Landing Page Submission,Direct Traffic,1,9,1150,4.5,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,1,2,No
Landing Page Submission,Google,0,3,26,3,SMS Sent,Unemployed,3,1,3,No
API,Google,0,1,205,1,Others,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,1,8,898,4,SMS Sent,Unemployed,3,2,2,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Google,0,5,1337,5,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Google,0,3,686,3,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Organic Search,0,3,1589,3,Others,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,4,1847,2,SMS Sent,Unemployed,4,2,3,Yes
Lead Add Form,Others,1,0,0,0,SMS Sent,Other,4,2,2,No
Landing Page Submission,Google,1,5,23,5,Email Opened,Unemployed,2,3,3,No
Landing Page Submission,Organic Search,0,7,945,3.5,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,5,479,2.5,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,4,42,4,Others,Unemployed,3,1,2,Yes
API,Google,0,2,97,2,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,2,73,2,SMS Sent,Unemployed,4,2,2,Yes
Landing Page Submission,Google,0,4,208,4,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,0,3,95,3,Page Visited on Website,Unemployed,3,2,3,No
Landing Page Submission,Google,0,2,389,2,Email Opened,Unemployed,3,2,3,No
API,Google,0,2,2,2,SMS Sent,Unemployed,3,2,2,No
API,Google,0,3,156,3,Email Opened,Unemployed,3,2,2,No
API,Google,1,2,1392,1,Email Opened,Unemployed,2,2,2,No
Landing Page Submission,Google,1,3,734,3,Email Opened,Other,2,2,3,Yes
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Google,1,2,1001,1,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,1,4,936,4,Email Opened,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,5,2,3,No
API,Direct Traffic,1,17,1194,1.31,Page Visited on Website,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
API,Google,0,3,28,1.5,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,Email Opened,Other,2,2,3,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Google,0,2,70,1,SMS Sent,Unemployed,3,2,2,No
API,Google,0,2,4,2,SMS Sent,Unemployed,3,2,2,No
API,Google,0,3,562,3,Email Opened,Unemployed,2,2,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Google,1,16,1253,3.2,Others,Unemployed,4,3,3,No
Landing Page Submission,Direct Traffic,1,2,280,2,SMS Sent,Unemployed,2,2,3,No
API,Google,0,4,105,4,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,1,15,1053,5,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,1,3,248,1.5,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,0,15,69,3,Others,Unemployed,1,2,3,No
API,Google,0,1,192,1,Others,Unemployed,2,2,3,No
API,Google,1,5,921,5,SMS Sent,Working Professional,2,2,2,No
Landing Page Submission,Google,0,8,242,1.6,Others,Unemployed,4,2,3,No
Landing Page Submission,Organic Search,1,7,1074,3.5,SMS Sent,Working Professional,3,2,3,Yes
API,Olark Chat,1,6,781,2,Email Opened,Unemployed,2,2,3,Yes
API,Olark Chat,0,4,1723,4,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,0,29,209,2.9,Page Visited on Website,Unemployed,3,3,2,Yes
Landing Page Submission,Organic Search,0,3,24,3,Others,Other,3,3,2,Yes
Landing Page Submission,Google,1,4,494,4,Email Opened,Working Professional,5,2,3,No
Landing Page Submission,Google,1,6,1332,2,Email Opened,Working Professional,5,3,3,No
Landing Page Submission,Direct Traffic,0,1,44,1,Others,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,12,766,6,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Google,1,5,1287,5,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Google,1,2,1290,2,Others,Unemployed,2,2,3,No
Landing Page Submission,Google,1,5,96,1.67,Email Opened,Working Professional,2,2,3,Yes
Landing Page Submission,Direct Traffic,0,1,62,1,Others,Unemployed,3,2,3,Yes
API,Google,0,3,538,1.5,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,0,7,159,2.33,Email Opened,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,Others,Unemployed,5,2,3,Yes
Landing Page Submission,Direct Traffic,1,2,1119,2,SMS Sent,Working Professional,4,2,3,Yes
API,Google,1,3,1147,1.5,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,6,273,2,Page Visited on Website,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,1,7,1290,7,Email Opened,Unemployed,5,2,3,Yes
Landing Page Submission,Direct Traffic,0,3,57,3,Page Visited on Website,Unemployed,3,3,2,Yes
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Lead Add Form,Reference,1,3,1248,1,Email Opened,Other,2,2,3,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,2,212,2,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Organic Search,1,4,362,4,SMS Sent,Unemployed,4,2,3,Yes
API,Google,0,4,183,1,SMS Sent,Unemployed,3,2,2,No
API,Olark Chat,1,16,1448,1.78,Page Visited on Website,Working Professional,4,3,1,No
Lead Add Form,Reference,1,4,1101,1.33,Olark Chat Conversation,Working Professional,5,3,3,Yes
Landing Page Submission,Direct Traffic,1,8,1495,4,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,0,1,186,1,Others,Unemployed,1,2,3,No
API,Google,0,3,13,3,Others,Unemployed,4,1,2,No
Landing Page Submission,Google,1,5,952,5,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Google,0,5,228,2.5,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,0,5,213,2.5,Page Visited on Website,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,1,9,62,2.25,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,0,2,1492,2,Email Opened,Unemployed,4,2,2,Yes
API,Organic Search,0,8,58,2.67,Email Opened,Unemployed,1,2,2,No
Landing Page Submission,Google,1,3,1248,3,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,5,992,1.25,Email Opened,Unemployed,2,2,3,Yes
API,Direct Traffic,1,3,1099,1.5,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Google,0,10,524,1.67,Page Visited on Website,Unemployed,3,3,3,Yes
API,Google,1,4,1656,2,Olark Chat Conversation,Unemployed,4,3,2,No
Landing Page Submission,Direct Traffic,1,5,959,2.5,SMS Sent,Working Professional,4,2,3,No
Landing Page Submission,Direct Traffic,0,23,351,3.83,Page Visited on Website,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,0,5,2,2.5,Others,Unemployed,3,2,3,Yes
Landing Page Submission,Google,0,5,375,5,SMS Sent,Unemployed,2,2,3,No
Landing Page Submission,Google,1,12,1248,2.4,SMS Sent,Unemployed,3,3,3,Yes
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Google,1,4,921,2,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Google,1,4,130,4,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Organic Search,0,3,300,3,SMS Sent,Unemployed,2,2,3,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,8,1797,2.67,Email Opened,Unemployed,5,2,3,Yes
Landing Page Submission,Google,0,4,240,2,Others,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,1,2,1512,2,SMS Sent,Working Professional,4,2,3,Yes
API,Google,0,2,547,1,Email Opened,Unemployed,5,1,2,No
Landing Page Submission,Direct Traffic,1,4,1602,1.33,SMS Sent,Unemployed,1,2,2,Yes
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,5,2,3,No
Lead Add Form,Reference,1,0,0,0,Others,Unemployed,5,2,3,No
Lead Add Form,Reference,1,1,1054,1,Email Opened,Unemployed,5,2,3,Yes
Landing Page Submission,Direct Traffic,1,24,1500,2,Page Visited on Website,Unemployed,4,3,3,No
Landing Page Submission,Google,1,8,1289,1.6,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,6,1168,2,Email Opened,Unemployed,2,2,3,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,3,148,3,SMS Sent,Unemployed,5,2,3,Yes
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,18,976,3,Olark Chat Conversation,Unemployed,2,3,3,Yes
Landing Page Submission,Direct Traffic,1,8,1688,1.6,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Direct Traffic,0,9,426,4.5,Page Visited on Website,Unemployed,1,2,2,Yes
Landing Page Submission,Google,0,2,660,2,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Organic Search,1,5,1366,2.5,Email Opened,Working Professional,4,2,3,Yes
Landing Page Submission,Google,0,8,491,2.67,Email Opened,Working Professional,4,1,2,No
Landing Page Submission,Direct Traffic,0,16,1576,2.67,Page Visited on Website,Other,3,2,3,No
Landing Page Submission,Google,0,5,2090,5,Email Opened,Unemployed,2,2,3,No
API,Olark Chat,1,0,0,0,SMS Sent,Other,4,2,2,No
API,Olark Chat,1,4,1021,2,Email Opened,Unemployed,5,2,3,No
API,Organic Search,0,3,109,1.5,Olark Chat Conversation,Unemployed,3,3,2,No
Landing Page Submission,Direct Traffic,0,8,61,8,Page Visited on Website,Other,2,2,3,Yes
API,Google,0,4,229,1.33,Email Opened,Unemployed,3,2,2,No
Lead Add Form,Others,0,0,0,0,SMS Sent,Unemployed,3,3,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Other,5,3,2,No
Landing Page Submission,Direct Traffic,0,6,259,2,Email Opened,Unemployed,5,2,3,Yes
Landing Page Submission,Direct Traffic,0,2,245,2,Email Opened,Unemployed,1,2,2,Yes
Landing Page Submission,Google,0,2,203,2,SMS Sent,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,5,2,2,No
Landing Page Submission,Direct Traffic,1,4,1099,2,Email Opened,Unemployed,2,2,3,Yes
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,5,2,3,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Google,1,5,2037,2.5,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,0,4,178,4,SMS Sent,Unemployed,1,2,3,No
Landing Page Submission,Google,1,3,234,3,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,1,3,963,3,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Direct Traffic,1,7,1003,2.33,Email Opened,Unemployed,5,2,3,Yes
API,Olark Chat,1,3,62,3,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,10,151,3.33,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Direct Traffic,1,3,1049,3,Others,Unemployed,3,2,3,Yes
Lead Add Form,Reference,0,0,0,0,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,1,8,598,2,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,0,2,694,1,Others,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,1,9,40,3,Others,Unemployed,1,2,3,Yes
API,Organic Search,0,3,206,1.5,Others,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,0,3,402,1.5,Others,Unemployed,1,2,3,Yes
API,Olark Chat,0,2,319,1,Others,Unemployed,3,1,2,Yes
Landing Page Submission,Direct Traffic,1,5,1087,5,SMS Sent,Unemployed,5,2,3,Yes
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,3,2,2,No
Lead Add Form,Others,1,5,467,2.5,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Google,1,7,875,1.75,Others,Unemployed,5,2,3,Yes
Landing Page Submission,Direct Traffic,0,14,1047,1.4,Page Visited on Website,Unemployed,1,3,3,Yes
API,Google,1,3,1390,3,Others,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,1,11,1505,3.67,SMS Sent,Unemployed,4,3,3,Yes
Landing Page Submission,Google,0,6,1049,2,Email Opened,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,2,2,3,No
API,Google,1,6,151,1,SMS Sent,Unemployed,3,3,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Other,2,2,2,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,5,2,3,No
Landing Page Submission,Organic Search,1,19,1146,2.71,Page Visited on Website,Working Professional,4,3,2,Yes
API,Direct Traffic,1,12,942,12,SMS Sent,Unemployed,5,2,2,No
Landing Page Submission,Google,0,6,49,2,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,1,8,718,2,SMS Sent,Unemployed,5,2,3,Yes
Landing Page Submission,Google,1,5,1125,5,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Direct Traffic,1,20,155,4,Email Opened,Unemployed,4,2,2,Yes
Lead Add Form,Reference,1,0,0,0,Olark Chat Conversation,Unemployed,4,3,3,No
Landing Page Submission,Direct Traffic,1,10,1669,2.5,Email Opened,Unemployed,4,3,2,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,7,899,2.33,Page Visited on Website,Unemployed,5,2,2,Yes
Landing Page Submission,Direct Traffic,0,3,101,1.5,Email Opened,Unemployed,1,2,3,Yes
Landing Page Submission,Google,1,9,1066,3,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,0,6,142,3,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,1,6,1027,3,Page Visited on Website,Unemployed,5,2,3,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,1,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,4,2,3,No
Lead Add Form,Others,0,0,0,0,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,1,2,430,2,Email Opened,Unemployed,5,1,3,Yes
API,Olark Chat,0,0,0,0,Page Visited on Website,Unemployed,1,3,2,No
Lead Add Form,Reference,1,4,1144,1.33,Page Visited on Website,Working Professional,4,2,3,No
Landing Page Submission,Direct Traffic,1,3,1500,3,Others,Unemployed,5,2,3,Yes
API,Google,1,2,840,2,Others,Unemployed,2,3,1,No
Landing Page Submission,Direct Traffic,0,2,1517,2,SMS Sent,Unemployed,3,2,2,Yes
Lead Add Form,Reference,1,0,0,0,Others,Unemployed,5,2,3,Yes
Landing Page Submission,Organic Search,1,7,845,7,Others,Unemployed,5,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,5,2,3,No
API,Organic Search,1,4,918,2,Page Visited on Website,Working Professional,4,2,1,No
Landing Page Submission,Direct Traffic,0,3,1353,3,Email Opened,Unemployed,3,1,2,Yes
Landing Page Submission,Direct Traffic,1,8,1255,8,Email Opened,Unemployed,5,2,3,Yes
Landing Page Submission,Direct Traffic,0,8,1677,2,Page Visited on Website,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,12,1117,2.4,Page Visited on Website,Unemployed,3,3,3,Yes
Landing Page Submission,Google,1,5,725,2.5,SMS Sent,Unemployed,4,2,3,No
API,Organic Search,1,3,951,1.5,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,7,90,2.33,Page Visited on Website,Unemployed,1,3,3,Yes
Landing Page Submission,Google,1,6,1202,3,Page Visited on Website,Unemployed,4,2,3,Yes
API,Google,1,2,1164,1,Others,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,0,2,221,2,Others,Unemployed,4,2,3,Yes
Landing Page Submission,Organic Search,0,7,279,3.5,Others,Unemployed,4,2,3,No
API,Direct Traffic,0,12,247,2.4,Others,Unemployed,3,2,2,No
API,Direct Traffic,1,8,58,4,SMS Sent,Unemployed,5,2,2,No
API,Google,0,11,565,2.75,Email Opened,Unemployed,3,2,2,No
API,Organic Search,1,11,591,3.67,Email Opened,Working Professional,5,3,2,Yes
Landing Page Submission,Google,1,5,100,2.5,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,1,4,1547,4,SMS Sent,Unemployed,5,2,3,No
API,Direct Traffic,1,3,1759,3,Email Opened,Unemployed,5,2,2,No
Landing Page Submission,Organic Search,1,6,1578,3,Email Opened,Unemployed,4,2,2,Yes
API,Google,1,24,282,3.43,SMS Sent,Unemployed,4,3,2,No
Landing Page Submission,Google,0,6,726,2,Email Opened,Unemployed,3,1,2,Yes
API,Google,1,8,1286,4,SMS Sent,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,6,1251,2,Page Visited on Website,Unemployed,4,3,3,No
Landing Page Submission,Google,1,2,910,2,Olark Chat Conversation,Unemployed,5,2,3,No
Landing Page Submission,Organic Search,0,23,176,2.56,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Direct Traffic,0,5,278,2.5,Others,Unemployed,3,1,2,Yes
Landing Page Submission,Direct Traffic,0,2,18,2,Others,Unemployed,1,2,2,Yes
Landing Page Submission,Google,1,7,1600,2.33,Email Opened,Working Professional,2,2,3,No
API,Organic Search,1,19,1377,6.33,Email Opened,Working Professional,2,3,2,No
Landing Page Submission,Direct Traffic,1,5,146,2.5,Olark Chat Conversation,Unemployed,3,3,3,Yes
Landing Page Submission,Direct Traffic,0,5,430,1.67,Others,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,1,18,217,1.64,Page Visited on Website,Unemployed,5,2,3,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,4,2,2,No
Landing Page Submission,Google,1,6,959,2,SMS Sent,Working Professional,4,3,3,Yes
API,Organic Search,0,11,33,3.67,Page Visited on Website,Unemployed,3,2,2,Yes
Landing Page Submission,Organic Search,0,18,237,2.25,Page Visited on Website,Unemployed,3,2,3,Yes
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,3,62,1.5,SMS Sent,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,0,4,266,2,Email Opened,Unemployed,1,1,3,Yes
Landing Page Submission,Organic Search,1,11,1549,1.57,Olark Chat Conversation,Unemployed,5,3,3,Yes
API,Olark Chat,1,0,0,0,Olark Chat Conversation,Unemployed,3,3,2,No
Landing Page Submission,Organic Search,0,9,1309,4.5,Email Opened,Unemployed,4,1,3,Yes
Landing Page Submission,Google,1,14,1442,2.8,Olark Chat Conversation,Unemployed,4,3,3,Yes
Landing Page Submission,Google,0,6,348,2,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,1,2,311,2,Email Opened,Unemployed,5,2,3,Yes
Landing Page Submission,Direct Traffic,1,7,950,1.75,Email Opened,Unemployed,2,2,3,Yes
Landing Page Submission,Direct Traffic,1,3,730,3,Others,Unemployed,3,2,3,Yes
